title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Reiche Vogelwelt und unberührte Flora'],['easy'],['Hiking'],13.25km,03:10h,10hm,426 - 447m,rating-1,rating-2,52285
['Höhenwanderung über den Metschstand im Simmental'],['medium'],['Hiking'],8.83km,03:15h,484hm,"1,651 - 2,091m",rating-3,rating-3,114250
['Rundwanderung auf der Elsigenalp'],['easy'],['Hiking'],4.06km,01:15h,142hm,"1,792 - 1,934m",rating-1,rating-2,306681
['Saaner Fiirabe Rundi'],['easy'],['Mountainbike'],5.09km,01:00h,167hm,"1,007 - 1,164m",rating-2,rating-2,823103
['Schwingerweg Springenboden'],['easy'],['Thematic route'],2.49km,01:30h,120hm,"1,285 - 1,392m",rating-1,rating-2,289903
['Schynige-Platte-Rundweg - Top Sicht auf das Dreigestirn'],['medium'],['Hiking'],5.65km,02:00h,370hm,"1,910 - 2,076m",rating-3,rating-1,162908
['Aus dem Diemtigtal zum Seebergsee'],['medium'],['Hiking'],18.63km,06:30h,"1,023hm","1,081 - 1,929m",rating-3,rating-4,49274
['Blausee'],['easy'],['Hiking'],11.53km,03:20h,315hm,"888 - 1,186m",rating-1,rating-1,744917
['Osterglocken am Chasseral'],['easy'],['Hiking'],9.81km,03:00h,380hm,"1,008 - 1,332m",rating-2,rating-2,70029
['Unterer Wasserfallrundwanderweg'],['easy'],['Hiking'],1.92km,00:35h,73hm,"1,397 - 1,509m",rating-2,rating-2,812686
['Rund um Bönigen'],['medium'],['Running'],9.86km,01:33h,98hm,564 - 661m,rating-1,rating-3,501843
['Walk to Lenk'],['medium'],['Hiking'],14.37km,04:00h,707hm,"1,070 - 1,969m",rating-2,rating-3,224315
['Gstaads 4 Finger Loop'],['difficult'],['Racing'],59.09km,03:30h,976hm,"1,010 - 1,384m",rating-2,rating-5,131667
['Kulturgeschichtliche Leckerbissen am Rugen'],['easy'],['Hiking'],7.56km,02:30h,400hm,561 - 785m,rating-2,rating-2,49033
['Vogellisi Berglauf - Strecke'],['medium'],['Trailrunning'],12.57km,02:29h,853hm,"1,274 - 2,027m",rating-,rating-4,599069
['Grenzerfahrung durch die Comb de Biaufonds'],[],['Hiking'],13.62km,04:00h,475hm,"618 - 1,035m",rating-,rating-0,114222
['Eggli Loop'],['medium'],['Mountainbike'],19.15km,02:30h,650hm,"1,024 - 1,660m",rating-3,rating-4,131655
['Tour de Gastlosen: Saanen - Mittelbergpass - Abländschen - Jaunpass - Zweisimmen - Saanen'],['difficult'],['Racing'],62.14km,04:00h,"1,658hm","824 - 1,634m",rating-2,rating-5,131669
"['Zum Hinterburgseeli, dem Naturwunder auf der Axalp']",['medium'],['Hiking'],10.69km,03:45h,624hm,"1,521 - 1,878m",rating-3,rating-3,48850
"['Im Innereriz, abseits der grossen Touristenströme']",['medium'],['Hiking'],9.8km,03:30h,611hm,"1,042 - 1,574m",rating-3,rating-3,100448
['Engstligenalp – Dossenseeli – Engstligenalp (Seeli-Weg)'],['medium'],['Hiking'],8.18km,02:50h,483hm,"1,937 - 2,343m",rating-4,rating-4,812684
['Bergsee-Paradies am Stockhorn'],['medium'],['Hiking'],6.17km,02:20h,430hm,"1,596 - 1,798m",rating-3,rating-3,48808
['Hügelpanorama oberhalb Trubschachen'],['medium'],['Hiking'],3.71km,01:35h,290hm,731 - 996m,rating-2,rating-3,56959
['Auf Panoramawegen durchs Bipperamt'],['medium'],['Hiking'],16.53km,05:15h,862hm,"636 - 1,215m",rating-3,rating-4,51213
['I gloube i gange no meh a Louenesee'],['medium'],['Hiking'],9.99km,02:50h,340hm,"1,236 - 1,433m",rating-2,rating-3,508332
"['Swiss Trail Tour Lenk, Strecke Freitag, 2020']",['medium'],['Trailrunning'],22.88km,04:47h,"1,202hm","1,064 - 2,108m",rating-3,rating-3,525056
['Adelboden Dorf - Oey - Unter dem Birg'],['easy'],['Hiking'],4.91km,01:20h,190hm,"1,239 - 1,406m",rating-,rating-1,870878
['Höhenweg Entlebuch Emmental - Etappe 5: Grosshorben – Schangnau'],[],['Hiking'],5.16km,01:45h,196hm,"928 - 1,415m",rating-,rating-0,162712
"['Swiss Trail Tour Lenk, Strecke Ultra, Sonntag 2019']",['difficult'],['Trailrunning'],44.98km,09:31h,"2,500hm","1,064 - 2,346m",rating-4,rating-6,482336
"['Swiss Trail Tour Lenk, Strecke Ultra, Samstag 2019']",['difficult'],['Trailrunning'],46.54km,09:38h,"2,372hm","1,010 - 2,108m",rating-4,rating-6,482340
['Rundwanderung Tellenburg Frutigen'],['easy'],['Hiking'],8.17km,02:10h,230hm,773 - 904m,rating-1,rating-2,50976
['Über den Schnitzlerweg zum verträumten Hinterburgseeli'],['medium'],['Hiking'],10.74km,03:50h,620hm,"1,521 - 1,878m",rating-4,rating-3,97364
['GFW 48 - Botchenalp'],[],['Hiking'],10.17km,04:00h,720hm,"992 - 1,551m",rating-,rating-0,850700
['Course de la solidarité'],[],['Trailrunning'],10.22km,01:40h,100hm,801 - 894m,rating-,rating-0,199823
['Kandersteg - Höh Biketour'],['medium'],['Mountainbike'],6.1km,00:40h,141hm,"1,170 - 1,311m",rating-3,rating-3,698706
['Interlaken - Ringgenberg - Roteflue - Harder Kulm'],['difficult'],['Hiking'],11.92km,05:30h,"1,192hm","564 - 1,756m",rating-2,rating-5,131163
"['Auf dem Beatenberg, der Sonnenterrasse des Berner Oberlandes']",['medium'],['Hiking'],10.74km,04:10h,752hm,"1,204 - 1,654m",rating-3,rating-3,86037
['Gehrihorn'],['easy'],['Hiking'],6.65km,03:20h,"1,357hm","771 - 2,129m",rating-1,rating-0,870922
['Aussichtsreiche Wege in der Adelbodner Bergwelt'],['easy'],['Hiking'],8.39km,02:30h,420hm,"1,310 - 1,624m",rating-2,rating-2,48925
['Lauenen – Lauenensee - Lauenen'],['medium'],['Hiking'],8.99km,02:30h,178hm,"1,236 - 1,409m",rating-3,rating-3,348126
['Emmental Literaturweg'],['easy'],['Thematic route'],7.66km,02:30h,200hm,656 - 828m,rating-1,rating-2,49823
['Rund um Rüschegg'],['medium'],['Hiking'],13.32km,03:45h,490hm,715 - 941m,rating-2,rating-3,65384
['Blümlisalp-Lauf - Stecke'],['medium'],['Running'],15.94km,05:05h,886hm,"706 - 1,409m",rating-4,rating-0,891249
['Durchs Jahr wandern - Wiehnachtswäg Aeschi'],['easy'],['Thematic route'],1.86km,01:00h,40hm,934 - 964m,rating-1,rating-1,658328
['Bilderbuch-Jura zwischen Bellelay und Tramelan'],[],['Hiking'],16.53km,04:25h,330hm,"923 - 1,179m",rating-,rating-0,82225
['Panoramaroute: Gstaad - Gruben - Oberbort - Turbach - Gstaad'],['easy'],['Mountainbike'],8.2km,01:00h,182hm,"1,038 - 1,189m",rating-1,rating-1,131649
"['Zum Hinterburgseeli, dem Naturwunder auf der Axalp']",['medium'],['Hiking'],10.69km,03:45h,624hm,"1,521 - 1,878m",rating-3,rating-3,48850
['Trailrunning Rund um Adelboden'],['medium'],['Trailrunning'],27.73km,05:45h,"1,555hm","1,295 - 2,079m",rating-3,rating-3,837028
['I gloube i gange no meh a Louenesee'],['medium'],['Hiking'],9.99km,02:50h,340hm,"1,236 - 1,433m",rating-2,rating-3,508332
['Diemtigtaler Hausweg «Mittleres Tal»'],['easy'],['Thematic route'],10.2km,03:15h,434hm,"814 - 1,128m",rating-1,rating-2,295433
['Berner-Oberländer-Weg: Merligen - Amsoldingen (Original)'],['medium'],['Pilgrimage'],16.98km,04:41h,278hm,558 - 665m,rating-2,rating-3,156751
['Über Juraweiden hart an der Sprachgrenze'],['easy'],['Hiking'],11.35km,03:30h,552hm,"708 - 1,118m",rating-2,rating-2,51190
"['Rund um den Thunersee, Merligen-Interlaken West']",[],['Hiking'],13.02km,03:57h,257hm,558 - 728m,rating-,rating-0,159602
['GFW 15 - Rund ume Frienisberger'],[],['Hiking'],14.65km,04:20h,300hm,567 - 818m,rating-,rating-0,891220
['Höhenweg Entlebuch Emmental - Etappe 3: Turner - Trubschachen'],[],['Hiking'],6.76km,01:52h,3hm,"732 - 1,165m",rating-,rating-0,162740
['Rund um den Moossee'],['easy'],['Hiking'],6.47km,01:40h,90hm,521 - 571m,rating-2,rating-2,276223
['Ins urtümliche Gasteretal'],['medium'],['Hiking'],7.01km,02:15h,150hm,"1,195 - 1,940m",rating-3,rating-3,508334
['Meienberg – Rundwanderung Seebergsee - Meienberg'],['medium'],['Hiking'],7.12km,02:30h,322hm,"1,769 - 1,923m",rating-3,rating-3,348123
['Auf Spurensuche am Jäissberg'],['easy'],['Hiking'],10.58km,03:20h,345hm,426 - 603m,rating-2,rating-2,51189
['Zweisimmen - Oey Diemtigen - Zwischenflüh - Seebergsee - Meieberg - Zweisimmen'],['difficult'],['Cycling'],63.85km,06:05h,"1,636hm","679 - 1,853m",rating-1,rating-6,717235
['Grenzerfahrung durch die Comb de Biaufonds'],[],['Hiking'],13.62km,04:00h,475hm,"618 - 1,035m",rating-,rating-0,114222
['Gemmipass Biketour'],['medium'],['Mountainbike'],26.73km,02:55h,500hm,"1,170 - 2,335m",rating-,rating-4,698708
['Der Aare und Murg entlang zu Kirchen und Schlösser'],['medium'],['Hiking'],14.92km,03:56h,97hm,400 - 497m,rating-2,rating-3,564265
['Rund um den Etang de la Gruère'],['medium'],['Hiking'],14.83km,03:45h,350hm,"982 - 1,098m",rating-2,rating-3,51349
['Golitschenalp'],['difficult'],['Hiking'],7.81km,05:37h,681hm,"1,170 - 1,834m",rating-5,rating-5,709665
['Über dem Thunersee schweben'],['easy'],['Hiking'],4.77km,01:48h,282hm,573 - 853m,rating-2,rating-2,114266
['Alternative Bad Weather Walk: Kandersteg to Blausee'],['easy'],['Hiking'],5.1km,02:00h,15hm,"897 - 1,488m",rating-1,rating-1,277600
['Gemmipass Biketour'],['medium'],['Mountainbike'],26.73km,02:55h,500hm,"1,170 - 2,335m",rating-,rating-4,698708
['Prachtswälder am Fusse des Gantrisch'],['easy'],['Hiking'],8.65km,02:40h,390hm,"783 - 1,084m",rating-2,rating-2,48767
['Griesalp - Gamchi - Gspaltenhornhütte'],['difficult'],['Hiking'],6.98km,03:15h,"1,061hm","1,395 - 2,486m",rating-,rating-5,795212
['Adelboden – wo das Vogellisi gelebt hat'],['medium'],['Hiking'],12.65km,04:15h,668hm,"1,310 - 1,948m",rating-3,rating-3,114258
['Wandern am Wasser - Lauenensee'],['medium'],['Hiking'],9.27km,02:40h,170hm,"1,236 - 1,401m",rating-3,rating-2,174598
['Adelboden - Hahnenmoos'],['medium'],['Hiking'],8.16km,02:30h,670hm,"1,295 - 1,950m",rating-2,rating-3,133081
['Grünenbergpass'],['difficult'],['Mountainbike'],58.7km,05:30h,"1,920hm","561 - 1,555m",rating-4,rating-6,133924
['Hoch hinaus von Brienz bis auf die Axalp'],['difficult'],['Racing'],28.44km,02:00h,"1,155hm","564 - 1,705m",rating-3,rating-5,172177
['Oberwil - Alp Morgete - Oberwil'],['difficult'],['Cycling'],21.89km,03:15h,"1,010hm","813 - 1,654m",rating-1,rating-5,717229
"['Helsana Trail: Schönried - Bergmatte - Grossi Vorschess - Rellerli - Ritmal - Schönried, gelb']",['medium'],['Trailrunning'],9.51km,02:00h,593hm,"1,239 - 1,832m",rating-4,rating-4,211604
['Stockental Route'],['medium'],['Cycling'],40.62km,02:30h,376hm,553 - 740m,rating-1,rating-3,172140
['Durchs Jahr wandern - Aprilglocken im Berner Jura'],['easy'],['Hiking'],9.29km,02:50h,380hm,"1,006 - 1,333m",rating-2,rating-2,658323
"['Helsana Trail: Schönried - Saanenmöser - Schönried, grün']",['medium'],['Trailrunning'],6.33km,01:15h,119hm,"1,229 - 1,348m",rating-2,rating-3,211600
"['Auf dem Beatenberg, der Sonnenterrasse des Berner Oberlandes']",['medium'],['Hiking'],10.74km,04:10h,752hm,"1,204 - 1,654m",rating-3,rating-3,86037
['Gstaads 4 Finger Loop'],['difficult'],['Racing'],59.09km,03:30h,976hm,"1,010 - 1,384m",rating-2,rating-5,131667
['Horneggli - Hornberg - Horneggli (Blumenweg)'],['easy'],['Hiking'],2.7km,01:00h,101hm,"1,767 - 1,868m",rating-2,rating-2,354688
['Rotengraben - Wintermatte - Heubergtal - Wintermatte - Rotengraben'],['medium'],['Hiking'],13.6km,04:20h,625hm,"1,372 - 1,988m",rating-,rating-3,707098
['Vogellisi Berglauf - Strecke'],['medium'],['Trailrunning'],12.57km,02:29h,853hm,"1,274 - 2,027m",rating-,rating-4,599069
['Durch die wilde Landschaft'],['difficult'],['Hiking'],9.38km,05:00h,"1,631hm","1,330 - 2,940m",rating-5,rating-5,76670
['Königsrunde Nord'],['difficult'],['Racing'],163.02km,09:30h,"2,545hm","595 - 1,610m",rating-2,rating-6,131770
['Tour de France 2016 Teiletappe Gstaad-Emosson'],['difficult'],['Racing'],108.54km,06:50h,"2,663hm","393 - 1,957m",rating-6,rating-6,887205
['Stockental Route'],['medium'],['Cycling'],40.62km,02:30h,376hm,553 - 740m,rating-1,rating-3,172140
['Blueme II'],['difficult'],['Mountainbike'],27.91km,03:15h,847hm,"558 - 1,390m",rating-5,rating-5,133927
['Schüpberg - Vorgarten der Agglomeration'],[],['Hiking'],11.46km,02:50h,185hm,555 - 692m,rating-,rating-0,114202
['Horneggli - Hornberg - Horneggli (Blumenweg)'],['easy'],['Hiking'],2.7km,01:00h,101hm,"1,767 - 1,868m",rating-2,rating-2,354688
['Wandern am Wasser - Lauenensee'],['medium'],['Hiking'],9.27km,02:40h,170hm,"1,236 - 1,401m",rating-3,rating-2,174598
['Moränensee Route'],['easy'],['Cycling'],25.49km,01:40h,197hm,553 - 750m,rating-1,rating-1,172139
['Zu eiszeitlichen Riesen und zur Wohnstätte steinzeitlicher Menschen'],['easy'],['Hiking'],10.5km,02:40h,254hm,459 - 564m,rating-2,rating-2,51212
['Rund um den Moossee'],['easy'],['Hiking'],6.47km,01:40h,90hm,521 - 571m,rating-2,rating-2,276223
['Schönried Ermitage Gruben Runde'],['easy'],['Hiking'],4.62km,01:20h,140hm,"1,153 - 1,264m",rating-1,rating-1,707177
['Allmenalp Biketour'],['medium'],['Mountainbike'],21.14km,02:30h,677hm,"1,170 - 1,789m",rating-,rating-4,698709
['Bärlauchduft und Aarestrand'],['easy'],['Hiking'],11.63km,02:45h,170hm,515 - 565m,rating-1,rating-2,50927
['Gehrihorn'],['easy'],['Hiking'],6.65km,03:20h,"1,357hm","771 - 2,129m",rating-1,rating-0,870922
['Wässermatten zwischen Langenthal und Roggwil'],['easy'],['Hiking'],5.55km,01:25h,32hm,452 - 491m,rating-1,rating-1,573694
['Engstligenalp – Dossenseeli – Engstligenalp (Seeli-Weg)'],['medium'],['Hiking'],8.18km,02:50h,483hm,"1,937 - 2,343m",rating-4,rating-4,812684
['Rotengraben - Wintermatte - Heubergtal - Wintermatte - Rotengraben'],['medium'],['Hiking'],13.6km,04:20h,625hm,"1,372 - 1,988m",rating-,rating-3,707098
['Rund ums Wiriehore'],['medium'],['Hiking'],9.2km,03:30h,622hm,"1,410 - 2,032m",rating-4,rating-3,99640
"['Rund um den Thunersee, Merligen-Interlaken West']",[],['Hiking'],13.02km,03:57h,257hm,558 - 728m,rating-,rating-0,159602
['Blausee Biketour'],['easy'],['Mountainbike'],10.13km,01:05h,281hm,"896 - 1,177m",rating-,rating-1,698707
['Lauenen – Lauenensee - Lauenen'],['medium'],['Hiking'],8.99km,02:30h,178hm,"1,236 - 1,409m",rating-3,rating-3,348126
['Fit mit Anspruch'],['medium'],['Nordic Walking'],6.93km,02:45h,541hm,"1,840 - 2,288m",rating-3,rating-4,114499
['Interlaken Ost - Harder Kulm'],['medium'],['Hiking'],4.09km,02:30h,759hm,"566 - 1,322m",rating-2,rating-3,315061
['Ins urtümliche Gasteretal'],['medium'],['Hiking'],7.01km,02:15h,150hm,"1,195 - 1,940m",rating-3,rating-3,508334
['Griesalp - Gamchi - Gspaltenhornhütte'],['difficult'],['Hiking'],6.98km,03:15h,"1,061hm","1,395 - 2,486m",rating-,rating-5,795212
['Emmental Literaturweg'],['easy'],['Thematic route'],7.66km,02:30h,200hm,656 - 828m,rating-1,rating-2,49823
['Diemtigtaler Hausweg «Mittleres Tal»'],['easy'],['Thematic route'],10.2km,03:15h,434hm,"814 - 1,128m",rating-1,rating-2,295433
['Eggli Loop'],['medium'],['Mountainbike'],19.15km,02:30h,650hm,"1,024 - 1,660m",rating-3,rating-4,131655
['Kambly Entdeckerpfad in Trubschachen'],['easy'],['Hiking'],3.65km,01:05h,78hm,725 - 794m,rating-1,rating-2,309530
['Zum Aussichtsturm auf dem Moron'],[],['Hiking'],10.37km,03:20h,605hm,"717 - 1,321m",rating-,rating-0,114220
['Strade Bianche di Simmental'],['difficult'],['Racing'],78.66km,07:00h,"1,750hm","673 - 1,852m",rating-2,rating-5,131764
['«Den Niesen geniesen»'],['difficult'],['Hiking'],9.27km,05:15h,"1,712hm","631 - 2,343m",rating-4,rating-6,50315
['Wildhorn Tour - Tour du Wildhorn'],['difficult'],['long-distance walking trail'],60.96km,25:00h,"4,200hm","1,385 - 2,876m",rating-5,rating-6,82262
['Kulturgeschichtliche Leckerbissen am Rugen'],['easy'],['Hiking'],7.56km,02:30h,400hm,561 - 785m,rating-2,rating-2,49033
['Wildbeobachtungs Wanderung'],['easy'],['Thematic route'],7.05km,02:30h,399hm,"1,222 - 1,620m",rating-2,rating-2,368308
['Naturlandschaft vor den Toren der Stadt'],['easy'],['Hiking'],5.44km,01:40h,260hm,524 - 754m,rating-1,rating-2,51391
['Basler Weg: Fraubrunnen - Bern (Variante A)'],['medium'],['Pilgrimage'],24.48km,06:14h,160hm,489 - 570m,rating-,rating-3,277472
['Über sieben Brücken im Kiesen- und Aaretal'],[],['Hiking'],9.31km,02:10h,57hm,537 - 588m,rating-,rating-0,114210
['Mont Sujet'],['medium'],['Mountainbike'],38.43km,05:49h,"1,188hm","434 - 1,383m",rating-3,rating-4,83742
['Panoramatrail Faltschen'],['medium'],['Mountainbike'],29.01km,02:30h,846hm,"692 - 1,223m",rating-2,rating-3,172154
['Gipfelwanderung zum Rauflihorn'],['medium'],['Hiking'],15.33km,06:00h,"1,101hm","1,222 - 2,323m",rating-3,rating-3,316229
['Von Gurnigel Wasserscheide via Klettersteig Gantrisch nach Oberstocken'],['difficult'],['Via ferrata'],17km,05:30h,"1,000hm","707 - 2,174m",rating-5,rating-4,616521
['Schwingerweg Springenboden'],['easy'],['Thematic route'],2.49km,01:30h,120hm,"1,285 - 1,392m",rating-1,rating-2,289903
['Über dem Thunersee schweben'],['easy'],['Hiking'],4.77km,01:48h,282hm,573 - 853m,rating-2,rating-2,114266
['Sytiberg Trail'],['easy'],['Running'],5.53km,00:57h,146hm,567 - 712m,rating-1,rating-2,501844
['Ins urtümliche Gasteretal'],['medium'],['Hiking'],7.01km,02:15h,150hm,"1,195 - 1,940m",rating-3,rating-3,508334
['Zum Seebergsee: 100% Natur – 0% Hartbelag'],['medium'],['Hiking'],10.33km,03:20h,415hm,"1,760 - 1,980m",rating-3,rating-3,100447
['Gemmipass Biketour'],['medium'],['Mountainbike'],26.73km,02:55h,500hm,"1,170 - 2,335m",rating-,rating-4,698708
['Moorweg Sparemoos'],['easy'],['Thematic route'],3.39km,01:00h,130hm,"1,570 - 1,679m",rating-2,rating-2,65411
['Höhenweg Entlebuch Emmental - Etappe 3: Turner - Trubschachen'],[],['Hiking'],6.76km,01:52h,3hm,"732 - 1,165m",rating-,rating-0,162740
['Saaner Fiirabe Rundi'],['easy'],['Mountainbike'],5.09km,01:00h,167hm,"1,007 - 1,164m",rating-2,rating-2,823103
['Tour de France 2016 Teiletappe Gstaad-Emosson'],['difficult'],['Racing'],108.54km,06:50h,"2,663hm","393 - 1,957m",rating-6,rating-6,887205
['Golitschenalp'],['difficult'],['Hiking'],7.81km,05:37h,681hm,"1,170 - 1,834m",rating-5,rating-5,709665
['Blümlisalp-Lauf - Stecke'],['medium'],['Running'],15.94km,05:05h,886hm,"706 - 1,409m",rating-4,rating-0,891249
['Giro di Röstigrabe'],['medium'],['Racing'],40.77km,02:30h,864hm,"955 - 1,408m",rating-2,rating-4,131758
['Kanderfälle'],['medium'],['Hiking'],2.32km,01:00h,165hm,"1,195 - 1,328m",rating-3,rating-3,744919
['«Den Niesen geniesen»'],['difficult'],['Hiking'],9.27km,05:15h,"1,712hm","631 - 2,343m",rating-4,rating-6,50315
['Cable car to Wispile. Walk to Lauenensee'],['easy'],['Hiking'],9.58km,02:15h,142hm,"1,381 - 1,920m",rating-2,rating-2,247242
['Geissewäg – die Wasen-Genusstour (Vorderarniwäg)'],['medium'],['Thematic route'],12.32km,03:47h,458hm,"752 - 1,135m",rating-2,rating-3,275647
['Gsürweg'],['medium'],['Hiking'],10.97km,04:00h,343hm,"1,289 - 2,182m",rating-3,rating-4,133094
['Port-Libige'],['easy'],['Hiking'],6.5km,02:05h,269hm,"1,169 - 1,437m",rating-2,rating-2,744929
['Habkern die kleine Perle im Berner Oberland'],[],['Hiking'],9.12km,03:30h,634hm,"1,071 - 1,699m",rating-,rating-0,114254
['I gloube i gange no meh a Louenesee'],['medium'],['Hiking'],9.99km,02:50h,340hm,"1,236 - 1,433m",rating-2,rating-3,508332
['Höhenweg Entlebuch Emmental - Etappe 3: Turner - Trubschachen'],[],['Hiking'],6.76km,01:52h,3hm,"732 - 1,165m",rating-,rating-0,162740
['Lauenen – Lauenensee - Lauenen'],['medium'],['Hiking'],8.99km,02:30h,178hm,"1,236 - 1,409m",rating-3,rating-3,348126
['Saaner Fiirabe Rundi'],['easy'],['Mountainbike'],5.09km,01:00h,167hm,"1,007 - 1,164m",rating-2,rating-2,823103
['Berschel Tour'],['difficult'],['Mountainbike'],10.84km,01:40h,488hm,"1,154 - 1,601m",rating-4,rating-6,834956
['Berner-Oberländer-Weg: Merligen - Amsoldingen (Original)'],['medium'],['Pilgrimage'],16.98km,04:41h,278hm,558 - 665m,rating-2,rating-3,156751
['Durch Berns Kornkammer'],['medium'],['Hiking'],16.44km,04:00h,344hm,495 - 609m,rating-1,rating-3,51169
"[""Rund um's Seehore""]",['medium'],['Hiking'],22.31km,08:15h,"1,416hm","1,224 - 2,069m",rating-3,rating-4,316219
['Gantrisch/Freiburgweg: Amsoldingen - Romont'],['difficult'],['Cycling'],89.24km,07:14h,"1,387hm",566 - 981m,rating-5,rating-6,156907
['«Den Niesen geniesen»'],['difficult'],['Hiking'],9.27km,05:15h,"1,712hm","631 - 2,343m",rating-4,rating-6,50315
['Lenk - Iffigfall - Langermatte - Rezliberg - Simmenfälle - Lenk'],['medium'],['Cycling'],22.08km,03:30h,795hm,"1,064 - 1,858m",rating-2,rating-4,691501
['Oberer Wasserfall'],['medium'],['Hiking'],2.95km,01:10h,242hm,"1,738 - 1,974m",rating-3,rating-4,812685
['Walk to Lenk'],['medium'],['Hiking'],14.37km,04:00h,707hm,"1,070 - 1,969m",rating-2,rating-3,224315
['Stockental Route'],['medium'],['Cycling'],40.62km,02:30h,376hm,553 - 740m,rating-1,rating-3,172140
['Zu den Engstligen-Fällen'],['easy'],['Hiking'],7.18km,01:30h,217hm,"1,232 - 1,428m",rating-1,rating-2,133079
['Ins urtümliche Gasteretal'],['medium'],['Hiking'],7.01km,02:15h,150hm,"1,195 - 1,940m",rating-3,rating-3,508334
['Schwingerweg Springenboden'],['easy'],['Thematic route'],2.49km,01:30h,120hm,"1,285 - 1,392m",rating-1,rating-2,289903
['GFW 48 - Botchenalp'],[],['Hiking'],10.17km,04:00h,720hm,"992 - 1,551m",rating-,rating-0,850700
['Unterer Wasserfallrundwanderweg'],['easy'],['Hiking'],1.92km,00:35h,73hm,"1,397 - 1,509m",rating-2,rating-2,812686
['Auf Frühlingswiesen zum idyllischen Gantrischseeli'],['easy'],['Hiking'],1.8km,00:40h,120hm,"1,505 - 1,614m",rating-2,rating-1,289486
['Freeride Tour Sunnbüel'],['medium'],['Mountainbike'],4.64km,00:20h,737hm,"1,195 - 1,932m",rating-,rating-3,678610
['Rund um Rüschegg'],['medium'],['Hiking'],13.32km,03:45h,490hm,715 - 941m,rating-2,rating-3,65384
['Familienweg über den Gäggersteg'],[],['Hiking'],3.54km,01:10h,175hm,"1,499 - 1,635m",rating-,rating-0,908579
['Durch die malerische Cholereschlucht'],['medium'],['Hiking'],12.32km,04:00h,729hm,"573 - 1,113m",rating-3,rating-4,48958
['In die Gysnauflüe'],['medium'],['Hiking'],5.36km,01:40h,210hm,530 - 650m,rating-3,rating-2,508315
['Vogellisi Berglauf - Strecke'],['medium'],['Trailrunning'],12.57km,02:29h,853hm,"1,274 - 2,027m",rating-,rating-4,599069
['Kandersteg - Höh Biketour'],['medium'],['Mountainbike'],6.1km,00:40h,141hm,"1,170 - 1,311m",rating-3,rating-3,698706
['Wilderswil - Breitlauenen'],['medium'],['Hiking'],5.19km,03:00h,959hm,"583 - 1,542m",rating-2,rating-3,131149
['Lenk - Gibel - Guggernäll - Abstecher zum Laubbärgli - Lenk'],['easy'],['Cycling'],19.07km,02:05h,822hm,"1,068 - 1,848m",rating-1,rating-1,700217
['Interlaken - Ringgenberg - Roteflue - Harder Kulm'],['difficult'],['Hiking'],11.92km,05:30h,"1,192hm","564 - 1,756m",rating-2,rating-5,131163
