title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Simplonpass - Mäderlicka - Rothwald'],['medium'],['Hiking'],10.89km,04:30h,889hm,"1,749 - 2,887m",rating-3,rating-4,132657
['Laggintal'],['easy'],['Cycling'],5.39km,00:30h,188hm,"1,368 - 1,555m",rating-,rating-2,834886
"['Blaue Piste ""La Jaune"" (Tour für Anfänger) / Rando Parc Morgins']",['easy'],['Ski tour'],4.26km,01:30h,580hm,"1,313 - 1,894m",rating-1,rating-1,996861
['Gspon-Trail'],['easy'],['Snowshoe'],3.44km,01:21h,186hm,"1,812 - 1,988m",rating-2,rating-2,490544
['Bike-Tour Matterhorn Valley Trail (Nr. 20)'],['medium'],['Mountainbike'],38.22km,03:30h,120hm,"647 - 1,620m",rating-3,rating-4,78096
['ZIN-DW - Cabane des Becs de Bosson'],[],['Hiking'],14.35km,05:20h,939hm,"2,128 - 2,982m",rating-,rating-0,960155
['Familienerlebnis auf dem Hannig'],['easy'],['Hiking'],5.61km,02:30h,516hm,"1,818 - 2,336m",rating-2,rating-2,130863
['Säumerromantik Grimselpass'],['easy'],['Thematic route'],25.64km,08:15h,353hm,"625 - 2,165m",rating-2,rating-2,131948
"[""Val d'Anniviers - Täler & Musts""]",['difficult'],['Cycling'],27.83km,04:20h,"1,147hm","523 - 1,670m",rating-3,rating-5,107918
['Rundweg Simplon Dorf'],['easy'],['Hiking'],6.37km,02:00h,303hm,"1,220 - 1,481m",rating-2,rating-2,132605
['Trockener Steg to Zermatt'],['medium'],['Hiking'],9.47km,03:30h,3hm,"1,613 - 2,922m",rating-2,rating-3,212772
['Furi - Stafel'],['medium'],['Winter hiking'],4.87km,01:40h,339hm,"1,861 - 2,200m",rating-3,rating-4,50673
['Sentier viticole'],['easy'],['Thematic route'],6.62km,01:52h,136hm,560 - 660m,rating-,rating-1,398541
['Champéry - Rumières - Sur Cou'],[],['Hiking'],7.64km,02:40h,463hm,"1,026 - 1,487m",rating-,rating-0,946939
['Rundweg Ritzinger Feldkapelle'],['easy'],['Winter hiking'],2.26km,00:45h,68hm,"1,319 - 1,384m",rating-,rating-2,164057
['Hotel Weisshorn to Zinal'],['medium'],['Hiking'],11.65km,03:30h,83hm,"1,687 - 2,426m",rating-2,rating-3,212811
['Winterwanderung von der Chiematte zur Bergstation Luftseilbahn'],['easy'],['Winter hiking'],1.53km,00:30h,60hm,"2,038 - 2,098m",rating-1,rating-1,205607
['Gebirgswald Circular Hike'],['medium'],['Pilgrimage'],9.68km,03:05h,675hm,"1,352 - 1,945m",rating-2,rating-4,14412
['17. Morgins - Savolaire'],['medium'],['Snowshoe'],6.48km,03:00h,343hm,"1,310 - 1,648m",rating-2,rating-3,996859
['Durch das Vallon de They zu den Quellen der Vièze'],['medium'],['Hiking'],16.77km,05:23h,785hm,"1,313 - 2,097m",rating-4,rating-4,179119
['Von Blatten bei Naters zum Aussichtspunkt'],['easy'],['Hiking'],1.08km,00:20h,24hm,"1,287 - 1,341m",rating-1,rating-1,974661
['Sonnenweg'],['medium'],['Hiking'],3.09km,01:05h,1hm,"2,582 - 3,090m",rating-3,rating-3,53512
['Heimischgarte-Trail'],['medium'],['Snowshoe'],9.03km,04:00h,602hm,"1,487 - 2,090m",rating-4,rating-4,130904
['Wanderweg entlang der Vièze-Schluchten'],['easy'],['Hiking'],6.2km,02:04h,311hm,423 - 656m,rating-1,rating-2,593369
['Fahrradgenuss auf dem Rottenweg'],['easy'],['Cycling'],24.97km,02:00h,115hm,"1,196 - 1,376m",rating-2,rating-2,164019
['Durch den Lärchwald von Blatten bei Naters auf die Belalp'],['easy'],['Hiking'],5.18km,02:25h,794hm,"1,339 - 2,133m",rating-2,rating-2,339422
['Alpenpässeweg: Simplonpass - Gspon'],['difficult'],['Hiking'],22.79km,07:00h,824hm,"1,885 - 2,483m",rating-,rating-5,170839
['Mountainbike-Route Stoneman Glaciara by Roland Stauder'],['difficult'],['Mountainbike'],122.94km,19:50h,"4,700hm","757 - 2,592m",rating-5,rating-6,138936
['Sentier des Chamois'],['difficult'],['Hiking'],12.99km,05:30h,765hm,"1,490 - 2,649m",rating-5,rating-5,169250
['15. Sentier des Röstis'],[],['Snowshoe'],6.69km,02:30h,338hm,"1,585 - 1,856m",rating-,rating-0,946949
['Tour des Combins'],[],['Hiking'],107.25km,48:12h,"6,731hm","1,340 - 3,055m",rating-,rating-0,135553
['Längfluh / Saas-Fee'],['medium'],['Hiking'],6.45km,02:00h,23hm,"1,783 - 2,869m",rating-4,rating-3,599056
['Lötschentaler Höhenweg (Fafleralp - Faldumalp)'],['medium'],['Hiking'],16.6km,05:00h,883hm,"1,771 - 2,139m",rating-2,rating-2,8468
['Der Gornergletscher im Wandel der Zeit (Nr. 17b)'],['medium'],['Thematic route'],7.6km,02:45h,396hm,"1,828 - 2,156m",rating-3,rating-3,84698
['Binntalwanderung'],['medium'],['Hiking'],13.92km,04:15h,657hm,"1,107 - 1,400m",rating-2,rating-4,164037
['Hörnliweg'],['difficult'],['Hiking'],4.29km,02:15h,693hm,"2,570 - 3,260m",rating-5,rating-5,50937
['Wallis Velo Tour: Sion - Crans-Montana (Etappe 1)'],['difficult'],['Cycling'],59.08km,04:00h,"2,419hm","485 - 1,542m",rating-4,rating-5,82710
['Valais Alpine Bike'],['difficult'],['Mountainbike'],139.63km,20:00h,"5,035hm","922 - 2,172m",rating-3,rating-5,80802
['Breithorn'],['difficult'],['Ski tour'],36km,14:30h,"3,415hm","1,530 - 3,725m",rating-5,rating-4,16040
['Val d‘Anniviers Tour'],['easy'],['E-MTB'],36.77km,03:02h,"1,007hm","1,238 - 1,771m",rating-2,rating-4,776610
['Rothwald - Furggubäumlicke - Alpe Veglia'],['difficult'],['Hiking'],12.88km,10:00h,969hm,"1,741 - 2,687m",rating-4,rating-5,586302
"['Rundwanderung von der Riederalp via Silbersand, Bischofssitz und zurück']",['medium'],['Hiking'],7.07km,02:30h,344hm,"1,909 - 2,066m",rating-2,rating-3,405168
['Tour de Mayentset'],['medium'],['Mountainbike'],21.51km,03:18h,793hm,"864 - 1,575m",rating-3,rating-3,519061
['Moos-Trail (Nr. F1)'],['easy'],['Mountainbike'],1.26km,00:10h,-,"1,736 - 1,836m",rating-2,rating-2,88344
['Täsch - Randa'],['easy'],['Winter hiking'],4.24km,01:10h,17hm,"1,406 - 1,451m",rating-2,rating-2,50365
['Hannigalp Wannihorn Trail'],['difficult'],['Snowshoe'],2.34km,01:27h,476hm,"2,118 - 2,620m",rating-5,rating-5,494824
['Panorama-Trail'],['medium'],['Snowshoe'],3.41km,01:30h,142hm,"1,982 - 2,121m",rating-3,rating-2,908541
['The Matterhorn Trek'],['medium'],['long-distance walking trail'],46.49km,17:10h,"3,030hm","1,620 - 3,260m",rating-3,rating-4,71973
['ZIN-DW - Moiry Glacier - Tour 2500 - Moiry Barrage'],[],['Hiking'],7.86km,02:45h,258hm,"2,249 - 2,573m",rating-,rating-0,771098
['Lötschenlücke'],['difficult'],['High tour'],35.64km,08:55h,"2,150hm","1,535 - 3,155m",rating-,rating-6,14711
['Hannig Bergfahrt'],['medium'],['Cycling'],5.8km,01:15h,522hm,"1,818 - 2,340m",rating-2,rating-3,389972
['Waldegga Trail'],['medium'],['Snowshoe'],4.4km,01:41h,151hm,"1,892 - 2,042m",rating-3,rating-2,490549
['Von Blatten bei Naters zum Aussichtspunkt'],['easy'],['Hiking'],1.08km,00:20h,24hm,"1,287 - 1,341m",rating-1,rating-1,974661
['Leukerbad-Flüealp'],['easy'],['Mountainbike'],7.85km,02:00h,756hm,"1,381 - 2,048m",rating-1,rating-2,81417
['Klettersteig Eggishorn'],['medium'],['Via ferrata'],1.36km,03:00h,285hm,"2,724 - 2,869m",rating-,rating-2,92255
['Col de Champex – Mythische Alpenpässe'],['medium'],['Cycling'],10.72km,01:15h,870hm,"626 - 1,497m",rating-3,rating-4,89366
['Via Valais Cabane des Aiguilles Rouges - Cabane des Becs de Bosson (Etappe 3)'],['difficult'],['Trailrunning'],30.32km,07:10h,"2,120hm","1,342 - 2,984m",rating-4,rating-5,767160
['Gspon Panorama Bike'],['medium'],['Mountainbike'],24.05km,02:46h,412hm,"672 - 2,203m",rating-3,rating-4,309998
['Croix-de-Culet - Lac Vert - Champéry'],[],['Hiking'],17.35km,04:49h,453hm,"1,033 - 2,096m",rating-,rating-0,946937
['Hohsaas Bike-Trail'],['difficult'],['Mountainbike'],5.65km,00:30h,-,"2,400 - 3,142m",rating-4,rating-3,383160
['Urschgen Trail'],['easy'],['Snowshoe'],3.01km,01:30h,120hm,"1,322 - 1,419m",rating-2,rating-2,164050
['Schaliberg'],['medium'],['Hiking'],7.52km,03:45h,630hm,"1,400 - 2,023m",rating-3,rating-3,50601
['Haute Route van Chamonix naar Zermatt'],[],['Hiking'],117.54km,54:11h,"8,416hm","1,089 - 2,986m",rating-,rating-0,170573
['Klettersteig Jegihorn'],['medium'],['Via ferrata'],6.05km,07:00h,839hm,"2,399 - 3,206m",rating-,rating-4,130936
['Freichirunde: von Fiesch auf den Schinerewysse'],['difficult'],['Mountainbike'],46.01km,04:30h,"1,543hm","990 - 2,215m",rating-3,rating-5,120650
['Champéry - Bonavau-Rossétan-Roc Coupé'],[],['Hiking'],12.1km,05:00h,621hm,"1,026 - 1,564m",rating-3,rating-3,7225
['Rundwanderung von der Bettmeralp zu den Chatzulechern und zurück'],['medium'],['Hiking'],11.59km,04:30h,688hm,"1,924 - 2,333m",rating-3,rating-4,120659
['Grächen Wald- und Naturrundweg: Grächen - Hannigalp – Stafel – Chrütteribord - Lowizig – Dorf Grächen'],['medium'],['Thematic route'],7.24km,02:30h,219hm,"1,619 - 2,254m",rating-3,rating-4,82100
['Nesselloop Bike'],['medium'],['Mountainbike'],11.5km,00:55h,66hm,"1,091 - 2,098m",rating-3,rating-3,777931
['Veros Schatzsuche: Belalp-Alpe Bell-Antoniuswald-Blatten bei Naters'],['medium'],['Thematic route'],4.62km,01:32h,4hm,"1,332 - 2,098m",rating-4,rating-4,340887
['SFT:  Gspon - Simplonpass'],['medium'],['Hiking'],23.46km,07:00h,928hm,"1,889 - 2,483m",rating-,rating-3,862973
['Wanderung von der Bettmeralp via Bettmersee aufs Bettmerhorn'],['medium'],['Hiking'],6.69km,03:15h,866hm,"1,924 - 2,787m",rating-3,rating-3,120800
['Petersgrat'],['medium'],['Ski tour'],15.69km,04:30h,580hm,"1,530 - 3,190m",rating-2,rating-3,16958
['Wanderung über die Goms Bridge ins Musikdorf Ernen bis Fiesch'],['easy'],['Hiking'],4.77km,01:30h,106hm,"1,007 - 1,233m",rating-2,rating-2,394698
['Via Francigena: Grand-St-Bernard - Echevennoz'],['medium'],['Pilgrimage'],15.12km,04:35h,58hm,"1,245 - 2,484m",rating-,rating-3,157010
"[""Goldtoni - Alpenbogen A062 Le Buet-Relais d'Arpette""]",['difficult'],['long-distance walking trail'],23.52km,09:10h,"2,270hm","1,345 - 2,665m",rating-4,rating-5,470000
['Von der Cabane Brunet zur Cabane FXB Panossière'],['medium'],['Hiking'],7km,03:00h,608hm,"2,076 - 2,630m",rating-3,rating-4,175614
['ZIN-MTB - MTB - Sorebois'],['medium'],['Mountainbike'],6.53km,01:45h,785hm,"1,652 - 2,438m",rating-4,rating-4,361171
['Wanderung von der Belalp über die Hängebrücke zur Riederalp'],['medium'],['Hiking'],11.43km,05:00h,604hm,"1,560 - 2,133m",rating-4,rating-4,120651
['Panorama–Winterwanderweg Moosalp'],['medium'],['Winter hiking'],18.36km,05:30h,527hm,"1,471 - 1,802m",rating-3,rating-3,908542
['Hockenhorn Hike (from Lauchernalp)'],['difficult'],['High tour'],8.72km,06:00h,"1,305hm","1,975 - 3,215m",rating-,rating-5,14860
"['Stadtrundfahrt mit dem ""Kleinen Simplon Express"" Brig-Glis-Naters']",['easy'],['Hiking'],5.25km,00:25h,58hm,671 - 724m,rating-,rating-1,459169
['Kneippweg Blitzingen'],['easy'],['Thematic route'],2.69km,01:30h,180hm,"1,288 - 1,470m",rating-,rating-2,85392
['Kippel - Lauchernalp'],['medium'],['Hiking'],6.17km,02:10h,725hm,"1,385 - 2,060m",rating-1,rating-3,14274
['Mit Abkürzung von der Belalp aufs Sparrhorn'],['medium'],['Hiking'],1.6km,01:30h,349hm,"2,667 - 3,016m",rating-4,rating-4,339699
['Sommer Gommerlauf - Viertelmarathon'],[],['Trailrunning'],10.54km,01:00h,189hm,"1,339 - 1,453m",rating-,rating-0,229772
['Pfad der Sinne'],['easy'],['Hiking'],3.5km,01:30h,107hm,"1,683 - 1,789m",rating-1,rating-1,175509
['Via Valais Cabane des Aiguilles Rouges - Cabane des Becs de Bosson (Etappe 3)'],['difficult'],['Trailrunning'],30.32km,07:10h,"2,120hm","1,342 - 2,984m",rating-4,rating-5,767160
"['Visperterminen, Hueoterhuesi']",['medium'],['Snowshoe'],7.83km,03:00h,314hm,"1,345 - 1,660m",rating-3,rating-3,812680
['Obers Färda'],['difficult'],['High tour'],5.88km,02:35h,"1,052hm","1,370 - 2,420m",rating-,rating-5,15206
['Helsana Trail Gelb'],['medium'],['Trailrunning'],15.05km,02:40h,475hm,"1,554 - 1,939m",rating-2,rating-4,862941
['Col de Crans-Montana'],[],['Cycling'],16.63km,02:18h,"1,281hm","523 - 1,804m",rating-,rating-0,175728
['Heidnisch Tossu'],['medium'],['Hiking'],7.63km,02:50h,381hm,"1,619 - 2,512m",rating-4,rating-3,554974
['01. Champoussin - Frâchette'],['medium'],['Snowshoe'],6.15km,02:45h,366hm,"1,411 - 1,684m",rating-3,rating-3,946935
['Vom Gemmipass zur Lämmerenhütte'],['easy'],['Hiking'],10.02km,03:15h,460hm,"2,207 - 2,507m",rating-2,rating-2,196084
['Martisberg-Runde ab Fiesch über Riederalp und Bettmeralp'],['difficult'],['Mountainbike'],35.26km,05:30h,"1,292hm","1,017 - 1,937m",rating-4,rating-5,120744
['Schneeschuhtrail Wasenalp / Hohliecht'],['medium'],['Snowshoe'],7.32km,03:00h,582hm,"1,649 - 2,231m",rating-,rating-4,169498
['Gommer Höhenweg: Oberwald - Bellwald'],['difficult'],['Hiking'],28.31km,09:35h,"1,129hm","1,364 - 1,789m",rating-4,rating-6,85384
['Massaweg von Blatten bei Naters nach Mörel'],['medium'],['Hiking'],7.99km,03:00h,101hm,"1,190 - 1,453m",rating-2,rating-3,178559
['Von Saillon zur Hängebrücke von Farinet'],['easy'],['Hiking'],7.88km,02:30h,559hm,465 - 844m,rating-1,rating-1,586359
['Über fünf Alpen ins Rhonetal'],['difficult'],['Hiking'],19.34km,06:00h,841hm,"643 - 2,314m",rating-4,rating-5,51818
['Bisse Neuf ou Bénou'],['medium'],['long-distance walking trail'],10.71km,03:15h,232hm,"758 - 1,041m",rating-,rating-3,398486
['Valais Vélo Tour 2: Crans-Montana - Leukerbad'],[],['Cycling'],40.97km,03:21h,"1,298hm","540 - 1,804m",rating-,rating-0,179696
['Via Francigena: Grand-St-Bernard - Echevennoz'],['medium'],['Pilgrimage'],15.12km,04:35h,58hm,"1,245 - 2,484m",rating-,rating-3,157010
['Sion - Bisse de Clavau- Icogne'],['easy'],['Hiking'],12.13km,03:53h,472hm,"564 - 1,036m",rating-2,rating-2,190945
['Autour des petits lacs de Crans-Montana'],[],['Cycling'],10.06km,00:51h,183hm,"1,406 - 1,587m",rating-,rating-0,175727
['Vom Mattmark-Stausee zur goldenen Madonna auf dem Monte Moro Pass'],['medium'],['Hiking'],14.6km,05:00h,642hm,"2,199 - 2,841m",rating-3,rating-3,819423
['Arolla to Les Haudères/La Sage'],[],['Hiking'],11.24km,04:01h,418hm,"1,438 - 2,132m",rating-,rating-0,389058
['Entlang dem Wasser'],['easy'],['Cycling'],15.57km,01:30h,34hm,611 - 653m,rating-1,rating-1,276420
['Über fünf Alpen ins Rhonetal'],['difficult'],['Hiking'],19.34km,06:00h,841hm,"643 - 2,314m",rating-4,rating-5,51818
['Rundweg Trützisee'],['difficult'],['Hiking'],19.86km,07:10h,"1,367hm","1,340 - 2,579m",rating-2,rating-5,164002
['Winterwanderung von Betten Dorf via Goppisberg nach Greich'],['medium'],['Winter hiking'],2.98km,02:30h,1hm,"1,211 - 2,000m",rating-1,rating-3,120801
['Alpage Tour'],['medium'],['Mountainbike'],13.37km,02:40h,298hm,"1,554 - 2,078m",rating-3,rating-3,306127
['Tour du Mont-Blanc'],['difficult'],['Hiking'],151.35km,50:00h,"8,266hm","981 - 2,514m",rating-5,rating-5,529111
['Ovronnaz/Mayens de Chamoson – Wallis Velo Tour'],['medium'],['Cycling'],10.79km,01:30h,873hm,"500 - 1,362m",rating-3,rating-4,552504
['Torrenttrail Bike'],['medium'],['Mountainbike'],29.17km,03:05h,332hm,"623 - 2,313m",rating-3,rating-3,1000687
['Abenteuerweg'],['difficult'],['Hiking'],4.26km,01:40h,-,"2,215 - 3,092m",rating-4,rating-5,50436
['Simplonpass - Glishorn - Brig'],['difficult'],['Hiking'],17.7km,07:00h,789hm,"672 - 2,524m",rating-3,rating-5,132667
['De cabane en cabane via Cabane de la Tièche'],['difficult'],['Hiking'],49.96km,18:54h,"3,113hm","1,374 - 3,010m",rating-6,rating-6,239063
['Reblehrpfad - Tärbiner Kulturweg'],['medium'],['Thematic route'],7.9km,03:20h,850hm,"654 - 1,367m",rating-2,rating-4,51073
['Tyndall Trail'],['medium'],['Snowshoe'],5.1km,02:33h,614hm,"2,095 - 2,676m",rating-4,rating-4,490537
['Bike-Tour Gletschergarten Loop (Nr. 24)'],['easy'],['Mountainbike'],15.76km,02:10h,497hm,"1,600 - 2,091m",rating-2,rating-2,313083
['E-bike : Découverte culturelle'],['medium'],['Cycling'],27.43km,03:30h,997hm,"534 - 1,500m",rating-3,rating-3,682755
['Col de Portes de Culet – Mythische Alpenpässe'],['medium'],['Cycling'],25.11km,03:00h,"1,431hm","427 - 1,787m",rating-3,rating-4,91013
['Schwarzsee-Stafel (Nr. 123)'],['medium'],['Winter hiking'],3.26km,01:00h,-,"2,200 - 2,583m",rating-3,rating-3,167913
"[""Rundwanderung zum Lac d'Arpitettaz""]",[],['Hiking'],14.67km,05:22h,917hm,"1,673 - 2,585m",rating-,rating-0,354681
['Spitzhorli Rundtour'],['medium'],['Hiking'],6.23km,03:00h,749hm,"1,996 - 2,727m",rating-,rating-4,244796
['Biketrail Zermatt - Riffelalp'],['medium'],['Mountainbike'],7.51km,00:50h,103hm,"2,224 - 2,584m",rating-1,rating-3,50364
"['Rundwanderung von der Riederalp via Silbersand, Bischofssitz und zurück']",['medium'],['Hiking'],7.07km,02:30h,344hm,"1,909 - 2,066m",rating-2,rating-3,405168
['Montée Steve Morabito'],[],['Cycling'],17.66km,01:37h,"1,049hm","504 - 1,502m",rating-,rating-0,175730
['Best of Tour du Saint-Bernard'],['difficult'],['Hiking'],62.08km,22:30h,"4,100hm","1,256 - 2,763m",rating-4,rating-6,1040636
['ViaStockalper - Stockalperweg (Simplonpass - Simplon Dorf)'],['easy'],['Hiking'],8.86km,02:30h,160hm,"1,476 - 2,008m",rating-2,rating-2,132682
['Via Valais Randa - Mountain Lodge Ze Seewjinu (Etappe 8)'],['difficult'],['Trailrunning'],26.6km,06:05h,"1,890hm","1,403 - 2,593m",rating-4,rating-5,850702
['Schneeschuhtrail Bord-Trail'],['medium'],['Snowshoe'],1.11km,01:30h,220hm,"2,131 - 2,350m",rating-3,rating-2,170848
"['Matterhorn Ultraks Trail ""30K""']",['medium'],['Trailrunning'],32.11km,03:05h,"2,000hm","1,620 - 2,583m",rating-3,rating-4,50694
['Geologische Wanderung zum Stausee Vieux-Emosson'],['difficult'],['Hiking'],12.29km,05:00h,788hm,"1,932 - 2,497m",rating-4,rating-5,178475
['Chemin Du Vignoble - étape de St-Léonard à Loèche/La Souste'],['easy'],['Hiking'],25.49km,07:42h,734hm,507 - 832m,rating-1,rating-1,189772
['Tseuzier Le Tour du Lac'],['easy'],['Hiking'],5.06km,01:31h,87hm,"1,776 - 1,862m",rating-1,rating-1,189805
['Hockenhorn Hike (from Lauchernalp)'],['difficult'],['High tour'],8.72km,06:00h,"1,305hm","1,975 - 3,215m",rating-,rating-5,14860
['Mattmark Bike'],['medium'],['Mountainbike'],21.96km,03:00h,583hm,"1,670 - 2,248m",rating-3,rating-4,805089
['Rundwanderung vom Salwald nach Brischeru'],['difficult'],['Hiking'],5.74km,02:15h,471hm,"1,592 - 2,063m",rating-4,rating-5,974668
['Platthorn / Mettelhorn'],['difficult'],['Hiking'],10.81km,05:20h,"1,881hm","1,605 - 3,405m",rating-5,rating-6,50799
['The Matterhorn Trail'],['easy'],['Hiking'],8.65km,03:00h,1hm,"1,617 - 2,586m",rating-1,rating-0,210504
['Tärbiner Winterwanderweg'],['medium'],['Winter hiking'],10.07km,02:55h,380hm,"1,335 - 1,682m",rating-3,rating-3,812681
"['Winterwanderung Rundweg Bettmeralp ""Waldpromenade""']",['easy'],['Winter hiking'],4km,01:45h,135hm,"1,924 - 2,049m",rating-1,rating-2,120804
['Suonentrail Unterbäch'],['medium'],['Snowshoe'],4.16km,01:30h,230hm,"1,600 - 1,820m",rating-3,rating-3,922048
"['Bättelmatthorn, 3044 m']",['difficult'],['Hiking'],12.35km,06:00h,759hm,"2,304 - 3,034m",rating-6,rating-6,172470
['Simplon Höhenweg'],['medium'],['Hiking'],12.23km,04:20h,450hm,"1,474 - 2,199m",rating-2,rating-4,132587
"['Visperterminen, Hueoterhuesi']",['medium'],['Snowshoe'],7.83km,03:00h,314hm,"1,345 - 1,660m",rating-3,rating-3,812680
['Kreuzboden-Trail'],['difficult'],['Snowshoe'],5.31km,03:00h,845hm,"1,553 - 2,398m",rating-4,rating-5,928020
['Auf der Alten Bergstrasse von Naters nach Blatten bei Naters'],['medium'],['Hiking'],5.7km,02:18h,657hm,"676 - 1,333m",rating-3,rating-4,172351
['Antronapass - Auf den Spuren der Händler'],['medium'],['Hiking'],8.09km,04:00h,939hm,"1,902 - 2,838m",rating-4,rating-4,130858
['Valais Bike'],['difficult'],['Mountainbike'],114.17km,17:34h,"2,510hm","626 - 2,308m",rating-4,rating-4,499550
['Kapellenweg'],['easy'],['Thematic route'],1.66km,00:45h,214hm,"1,575 - 1,800m",rating-1,rating-2,130872
['Vita Parcours Zermatt'],['easy'],['Running'],2.97km,01:15h,147hm,"1,622 - 1,756m",rating-2,rating-2,50419
['Die Tour des Dents Blanches'],[],['Hiking'],43.89km,04:30h,"4,200hm","1,343 - 2,536m",rating-,rating-0,946929
['Winterwanderweg: Grächen - Bärgji'],['easy'],['Winter hiking'],2.61km,00:43h,50hm,"1,619 - 1,647m",rating-1,rating-2,84817
['Wanderung von Fiesch via Lax über Hockmatta und Twingischlucht nach Binn'],['medium'],['Hiking'],13.27km,04:30h,702hm,"987 - 1,405m",rating-2,rating-4,120794
['Rhein-Reuss-Rhôneweg: Saillon - Martigny'],['medium'],['Pilgrimage'],15.65km,04:16h,130hm,457 - 534m,rating-1,rating-3,214000
['Galmihornhütte-Wanderung - «Rundum hibsch»'],['medium'],['Hiking'],14.21km,05:20h,"1,037hm","1,316 - 2,400m",rating-3,rating-4,85362
['Champéry - Rumières - Sur Cou'],[],['Hiking'],7.64km,02:40h,463hm,"1,026 - 1,487m",rating-,rating-0,946939
['Tour Monte Rosa - Matterhorn'],['difficult'],['long-distance walking trail'],168.22km,58:00h,"10,696hm","1,148 - 3,316m",rating-,rating-6,50803
['Jolischlucht'],['medium'],['Hiking'],8.73km,03:12h,462hm,"633 - 1,094m",rating-3,rating-3,601921
['Rundwanderung Täsch'],['easy'],['Hiking'],4.62km,01:10h,28hm,"1,424 - 1,451m",rating-2,rating-2,50189
['Col du Basset'],['difficult'],['Hiking'],3.27km,02:15h,777hm,"1,990 - 2,766m",rating-,rating-5,834928
['Richinen Gassen Weg'],['easy'],['Winter hiking'],3.2km,01:01h,12hm,"1,615 - 2,064m",rating-1,rating-1,490552
['Kippel - Lauchernalp'],['medium'],['Hiking'],6.17km,02:10h,725hm,"1,385 - 2,060m",rating-1,rating-3,14274
['Winter-Talweg Saastal'],['easy'],['Winter hiking'],7.66km,02:15h,200hm,"1,485 - 1,670m",rating-1,rating-2,130889
['Crans-Montana Bike Marathon'],[],['Mountainbike'],48.96km,06:49h,"1,677hm","719 - 2,002m",rating-,rating-0,183350
['Direttissima'],['medium'],['Hiking'],4.49km,01:20h,3hm,"1,602 - 2,216m",rating-3,rating-4,50455
['Maultierweg / Alter Saumweg Saas-Fee'],['easy'],['Thematic route'],1.52km,00:45h,260hm,"1,560 - 1,820m",rating-1,rating-1,130874
['Wallis Velo Tour: Crans-Montana-Leukerbad (Etappe 2)'],['medium'],['Cycling'],40.91km,02:30h,"1,192hm","540 - 1,804m",rating-4,rating-4,78278
['Valais Vélo Tour 2: Crans-Montana - Leukerbad'],[],['Cycling'],40.97km,03:21h,"1,298hm","540 - 1,804m",rating-,rating-0,179696
